,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Number of Employees,Employee Training,Known Vulnerabilities,External Advisor,Risk
5542,490200,30,46,5001574,2749,HIGH,2,YES,MEDIUM
5543,29380,27,39,4977195,4292,LOW,1,YES,MEDIUM
5544,8988,35,36,4991071,4221,MEDIUM,1,NO,HIGH
5545,685857,48,33,5032230,9508,HIGH,7,YES,LOW
5546,228430,40,13,4932440,4348,HIGH,8,NO,HIGH
5547,618699,1,16,5024176,7881,MEDIUM,7,YES,LOW
5548,472976,36,26,5051176,8132,MEDIUM,5,YES,MEDIUM
5549,577301,6,42,4984549,6826,HIGH,0,YES,LOW
5550,262999,20,12,4998858,6988,LOW,1,YES,MEDIUM
5551,914568,7,15,5051565,7223,HIGH,0,NO,LOW
5552,1276219,33,37,4936749,9782,HIGH,8,YES,LOW
5553,47826,3,25,4953557,2982,MEDIUM,3,NO,HIGH
5554,606727,0,42,4980673,8087,HIGH,9,NO,MEDIUM
5555,869737,31,18,4971361,3201,MEDIUM,2,NO,HIGH
5556,1107889,31,15,5041059,4378,MEDIUM,9,NO,HIGH
5557,1424992,30,37,4987024,6785,HIGH,3,NO,MEDIUM
5558,253107,45,15,4887066,7373,HIGH,1,YES,LOW
5559,1342802,17,47,5005471,4121,LOW,0,YES,MEDIUM
5560,1322480,25,19,4936301,4629,MEDIUM,6,YES,MEDIUM
5561,569234,44,21,4946819,5098,HIGH,6,NO,HIGH
5562,49929,4,33,4923312,7014,LOW,8,YES,MEDIUM
5563,233084,26,30,4951843,2423,MEDIUM,2,YES,MEDIUM
5564,584939,46,34,5024285,551,HIGH,1,NO,HIGH
5565,881773,25,4,4967916,3793,MEDIUM,5,YES,MEDIUM
5566,1420471,35,32,4989574,4982,LOW,1,NO,HIGH
5567,1296534,38,36,5043788,7554,LOW,6,YES,HIGH
5568,375519,19,47,5024692,6468,HIGH,2,YES,LOW
5569,175673,14,32,5010347,1762,LOW,3,YES,MEDIUM
5570,1462314,41,37,4922780,837,MEDIUM,2,NO,HIGH
5571,153657,32,3,5031891,1267,LOW,7,YES,HIGH
5572,390149,22,7,5047837,5185,LOW,2,YES,MEDIUM
5573,907819,18,45,5032204,3920,LOW,8,NO,HIGH
5574,1378842,17,25,5036406,3015,MEDIUM,0,YES,LOW
5575,842323,16,24,5001963,9764,HIGH,8,NO,LOW
5576,300735,24,39,5031033,3103,LOW,2,YES,MEDIUM
5577,1273850,22,14,4976555,5723,HIGH,4,YES,LOW
5578,1075525,0,36,4966171,5996,LOW,5,NO,HIGH
5579,373068,15,36,5011832,8239,HIGH,2,YES,LOW
5580,402396,4,10,5045943,314,HIGH,6,NO,HIGH
5581,737466,42,34,5034483,3712,LOW,6,NO,HIGH
5582,1456197,29,23,5059478,7191,HIGH,3,NO,MEDIUM
5583,1444870,35,17,4992628,4143,MEDIUM,0,YES,LOW
5584,467307,27,25,4981944,9148,MEDIUM,7,NO,HIGH
5585,272396,14,35,4923819,9479,HIGH,3,NO,LOW
5586,357697,44,7,5013628,4508,HIGH,1,YES,MEDIUM
5587,1406535,32,15,4992221,1598,MEDIUM,6,NO,HIGH
5588,366709,28,20,4962847,5163,MEDIUM,9,YES,MEDIUM
5589,1315916,29,18,5026427,6412,HIGH,2,YES,LOW
5590,335048,15,13,4941241,4360,LOW,8,YES,HIGH
5591,1354531,32,13,4947639,3125,HIGH,2,YES,LOW
5592,598861,5,42,5003343,4899,LOW,9,NO,HIGH
5593,1464062,45,16,5047957,106,HIGH,2,NO,HIGH
5594,1136499,47,0,4945228,3401,HIGH,3,NO,HIGH
5595,564970,25,1,5014428,5563,MEDIUM,6,YES,MEDIUM
5596,590515,0,41,4972320,7129,HIGH,4,YES,LOW
5597,519215,39,42,4970361,2144,HIGH,6,YES,MEDIUM
5598,1102279,47,45,4936535,9843,HIGH,8,YES,LOW
5599,700128,42,40,5036030,3761,MEDIUM,6,YES,MEDIUM
5600,1444588,24,35,4965572,3482,LOW,7,YES,MEDIUM
5601,267376,29,12,5023505,3322,MEDIUM,7,NO,HIGH
5602,518954,46,15,4999336,1112,HIGH,9,YES,HIGH
5603,1398451,17,27,4949860,3387,HIGH,5,NO,MEDIUM
5604,69231,1,49,4916753,60,MEDIUM,2,YES,MEDIUM
5605,565111,20,33,4953968,9684,HIGH,6,YES,LOW
5606,322911,47,37,4905685,6084,MEDIUM,3,NO,HIGH
5607,1308189,3,16,5009982,1662,LOW,5,YES,MEDIUM
5608,403636,22,21,5028702,3097,LOW,3,NO,HIGH
5609,729724,43,4,4936972,1065,HIGH,6,NO,HIGH
5610,1254507,7,41,5027672,216,HIGH,8,NO,HIGH
5611,421427,8,43,5046581,5674,LOW,1,NO,HIGH
5612,316793,41,3,4995499,1499,MEDIUM,0,YES,MEDIUM
5613,1017726,39,44,4998929,2408,LOW,1,YES,MEDIUM
5614,505642,47,5,4949363,2587,HIGH,8,NO,HIGH
5615,475825,25,47,4950309,619,HIGH,0,NO,HIGH
5616,80334,49,15,4982713,4201,MEDIUM,9,NO,HIGH
5617,1244566,31,16,4989333,838,HIGH,2,YES,MEDIUM
5618,1391216,33,23,4947988,2789,HIGH,9,YES,MEDIUM
5619,155771,7,36,4940874,2123,MEDIUM,9,YES,MEDIUM
5620,793282,18,35,4998064,6307,MEDIUM,8,NO,HIGH
5621,1000861,37,24,4964983,5815,HIGH,2,YES,LOW
5622,612000,47,35,5083465,8349,LOW,4,YES,HIGH
5623,1464851,3,14,4994680,7327,HIGH,4,YES,LOW
5624,1112620,16,22,4951903,3817,HIGH,3,YES,LOW
5625,1089294,15,8,4962387,1848,MEDIUM,9,NO,HIGH
5626,1390047,33,46,5055345,6812,HIGH,4,NO,MEDIUM
5627,483752,26,30,5018691,5394,HIGH,9,NO,HIGH
5628,977624,8,48,4929426,6425,HIGH,1,NO,LOW
5629,735650,23,26,5024238,2634,HIGH,1,NO,MEDIUM
5630,868831,19,26,4913697,5952,HIGH,5,YES,LOW
5631,816288,29,23,4972348,322,HIGH,6,NO,HIGH
5632,993137,31,39,5014155,2002,HIGH,0,NO,HIGH
5633,906463,49,37,4919999,2642,HIGH,6,YES,MEDIUM
5634,482827,27,46,4990554,9248,LOW,9,NO,HIGH
5635,312166,48,3,5146480,9430,MEDIUM,9,YES,MEDIUM
5636,684716,22,9,4997422,4908,HIGH,7,NO,HIGH
5637,1137916,35,4,4953532,5160,HIGH,7,NO,HIGH
5638,269980,48,2,5035434,7446,MEDIUM,4,NO,HIGH
5639,965176,26,30,4934702,1834,LOW,2,NO,HIGH
5640,1073408,23,36,5029592,5748,HIGH,6,YES,LOW
5641,1206420,18,25,4918647,541,MEDIUM,9,NO,HIGH
5642,331163,28,42,4963873,7764,MEDIUM,6,YES,MEDIUM
5643,1091227,40,1,5065840,4049,LOW,1,NO,HIGH
5644,1282604,8,17,4983893,2420,LOW,3,YES,MEDIUM
5645,775884,37,28,4908581,1547,LOW,5,YES,HIGH
5646,1456236,14,22,4946562,3178,MEDIUM,3,YES,LOW
5647,558907,40,44,4947901,4573,MEDIUM,2,YES,MEDIUM
5648,990236,35,29,5098081,7066,HIGH,0,NO,MEDIUM
5649,287976,23,2,5028924,1583,LOW,6,YES,HIGH
5650,887558,18,41,4961627,2677,LOW,1,YES,MEDIUM
5651,1213771,1,9,5071520,1161,MEDIUM,4,YES,MEDIUM
5652,1504205,27,6,5054582,3383,LOW,3,NO,HIGH
5653,646768,9,33,4985750,9463,MEDIUM,5,YES,LOW
5654,682003,33,23,4978593,8086,MEDIUM,0,YES,LOW
5655,1222495,18,47,5075431,4487,LOW,1,YES,MEDIUM
5656,335401,38,17,5000367,6464,HIGH,8,YES,MEDIUM
5657,977957,28,2,5033765,7166,LOW,3,YES,MEDIUM
5658,284168,31,48,4875924,2242,HIGH,2,NO,HIGH
5659,11924,19,21,4971712,1385,LOW,2,NO,HIGH
5660,909769,5,31,5013753,9605,HIGH,3,NO,LOW
5661,1281629,37,45,4925111,8631,HIGH,6,YES,LOW
5662,1437145,28,13,4938971,1064,LOW,6,YES,MEDIUM
5663,732719,30,13,5005210,3216,HIGH,1,NO,MEDIUM
5664,1401123,10,9,5077719,3080,HIGH,6,YES,LOW
5665,320009,14,7,4983671,5630,MEDIUM,3,YES,LOW
5666,1220048,38,38,5074829,2602,MEDIUM,7,NO,HIGH
5667,624171,12,33,5064075,4127,MEDIUM,7,YES,MEDIUM
5668,177574,42,39,4914736,3508,MEDIUM,2,NO,HIGH
5669,1060633,39,45,4980967,1437,HIGH,6,NO,HIGH
5670,612414,26,17,4934330,401,LOW,0,YES,MEDIUM
5671,238614,44,27,4989255,5164,LOW,0,YES,MEDIUM
5672,38168,36,40,4970986,7876,LOW,8,NO,HIGH
5673,758295,46,0,5006034,1268,LOW,9,NO,HIGH
5674,1071678,23,42,5033990,2983,HIGH,7,YES,MEDIUM
5675,1135143,4,28,4881009,921,HIGH,6,YES,MEDIUM
5676,1046064,42,32,4979322,2440,HIGH,2,YES,MEDIUM
5677,1480489,35,38,4947714,6876,MEDIUM,3,NO,HIGH
5678,283685,27,9,4993590,7184,LOW,5,NO,HIGH
5679,655611,34,44,5010282,4047,HIGH,8,YES,MEDIUM
5680,486430,25,9,4943103,7590,HIGH,1,NO,LOW
5681,342530,15,6,5044530,3346,MEDIUM,7,NO,HIGH
5682,819199,9,23,5019604,8604,MEDIUM,2,NO,MEDIUM
5683,222643,37,17,4996721,7173,MEDIUM,1,YES,MEDIUM
5684,1256595,9,47,5023893,7309,HIGH,7,NO,MEDIUM
5685,521753,26,39,5022211,2643,MEDIUM,7,NO,HIGH
5686,894986,7,2,4921433,7384,LOW,9,YES,MEDIUM
5687,1101100,14,17,4946182,5787,MEDIUM,0,YES,LOW
5688,1455377,3,4,5029135,3812,HIGH,9,NO,MEDIUM
5689,1196175,48,17,5009063,4303,HIGH,9,NO,HIGH
5690,1389111,28,49,4933980,6797,LOW,2,NO,HIGH
5691,1243433,15,29,4929553,4699,HIGH,7,YES,LOW
5692,1244901,25,35,4954467,9384,LOW,4,NO,HIGH
5693,1308968,36,49,4979810,8486,HIGH,9,NO,MEDIUM
5694,82212,32,42,4964442,6159,HIGH,2,NO,MEDIUM
5695,1009865,19,27,4972175,8150,MEDIUM,7,YES,MEDIUM
5696,268404,16,38,5153138,6281,HIGH,6,YES,LOW
5697,580872,24,36,4989614,2930,LOW,5,YES,MEDIUM
5698,1121271,43,34,4966675,8422,LOW,4,NO,HIGH
5699,171022,34,28,4995009,3329,HIGH,0,YES,LOW
5700,1163411,49,10,5020462,8476,LOW,2,YES,MEDIUM
5701,1411529,35,38,4983750,9463,MEDIUM,3,YES,LOW
5702,18181,4,10,5080798,1360,LOW,4,YES,MEDIUM
5703,73821,7,27,4992140,136,HIGH,8,NO,HIGH
5704,114542,3,38,4982395,8072,LOW,9,YES,MEDIUM
5705,192468,33,16,4994266,276,LOW,0,NO,HIGH
5706,1348072,10,16,5030661,6363,MEDIUM,9,YES,MEDIUM
5707,586627,32,23,5004412,2959,HIGH,7,YES,MEDIUM
5708,813665,15,21,5062692,2251,HIGH,1,YES,LOW
5709,452063,41,22,5026676,4139,MEDIUM,3,YES,MEDIUM
5710,1109796,7,43,4986461,8488,MEDIUM,1,YES,LOW
5711,45338,36,1,4970852,2790,HIGH,5,YES,MEDIUM
5712,843705,15,48,4996634,9450,LOW,0,YES,MEDIUM
5713,674008,13,32,4993760,8541,MEDIUM,5,NO,MEDIUM
5714,528756,36,45,4948702,1973,HIGH,9,YES,HIGH
5715,1260146,26,7,5054123,8268,HIGH,5,YES,LOW
5716,839879,41,25,5003032,2943,MEDIUM,8,NO,HIGH
5717,1426961,46,23,5110560,1769,MEDIUM,2,NO,HIGH
5718,432401,30,20,5001838,6163,LOW,4,YES,MEDIUM
5719,972181,29,31,4972026,5913,MEDIUM,4,YES,MEDIUM
5720,1173305,21,44,4990430,9791,MEDIUM,9,YES,MEDIUM
5721,169466,36,7,4988998,6134,MEDIUM,8,YES,MEDIUM
5722,1083207,9,10,4961641,748,MEDIUM,0,YES,LOW
5723,149331,48,36,4995448,1356,HIGH,1,YES,MEDIUM
5724,1059992,29,38,4948193,913,HIGH,6,NO,HIGH
5725,768441,11,48,4978539,1214,HIGH,2,YES,MEDIUM
5726,1127341,34,14,5004392,7264,LOW,7,NO,HIGH
5727,580545,34,32,4951945,8280,HIGH,5,YES,LOW
5728,171721,41,10,4999167,6107,HIGH,8,NO,HIGH
5729,743701,6,35,4962807,1604,HIGH,2,YES,LOW
5730,1295434,34,21,4913409,5318,LOW,8,NO,HIGH
5731,721260,0,34,5054500,7252,MEDIUM,6,NO,MEDIUM
5732,375516,14,46,5038931,7801,MEDIUM,9,YES,MEDIUM
5733,1342317,15,37,4934767,1564,MEDIUM,2,NO,HIGH
5734,50063,10,24,5034409,264,LOW,5,YES,MEDIUM
5735,1024890,5,48,5111549,9129,HIGH,0,YES,LOW
5736,683106,49,0,5032161,8922,HIGH,9,YES,LOW
5737,476640,49,20,5020138,1702,HIGH,0,YES,MEDIUM
5738,1458531,7,4,5016717,8646,MEDIUM,7,NO,MEDIUM
5739,918850,19,17,5033466,479,MEDIUM,5,YES,MEDIUM
5740,992093,49,1,5058401,3723,LOW,9,YES,HIGH
5741,465071,45,46,5098913,4866,MEDIUM,6,NO,HIGH
5742,997391,21,31,4963226,7929,MEDIUM,9,NO,HIGH
5743,1001440,4,0,5053204,9913,MEDIUM,5,NO,MEDIUM
5744,1183777,21,36,4891895,9159,MEDIUM,3,YES,LOW
5745,1272830,10,28,5066694,2402,HIGH,3,YES,LOW
5746,152086,6,39,4948971,4264,HIGH,4,YES,LOW
5747,302482,31,24,5075396,9145,MEDIUM,0,YES,LOW
5748,494980,34,3,5065938,5857,LOW,5,YES,HIGH
5749,1500909,20,35,5050346,6644,HIGH,1,YES,LOW
5750,1119619,12,32,5035073,6992,LOW,1,YES,MEDIUM
5751,988758,46,34,4971265,6424,MEDIUM,9,YES,MEDIUM
5752,898366,8,9,4996743,5268,LOW,0,NO,MEDIUM
5753,1170354,14,31,4999904,1629,LOW,5,NO,HIGH
5754,455490,45,27,5001423,8893,HIGH,8,YES,LOW
5755,770024,49,34,5041957,1126,MEDIUM,3,NO,HIGH
5756,1379472,2,20,4969203,882,LOW,8,YES,MEDIUM
5757,966636,42,45,4974740,1326,MEDIUM,2,YES,MEDIUM
5758,1108209,34,21,5085954,3321,HIGH,9,YES,MEDIUM
5759,836878,29,2,4976825,5889,MEDIUM,9,YES,MEDIUM
5760,283644,11,11,5001619,1050,LOW,0,NO,HIGH
5761,1478451,32,17,5032153,2741,LOW,3,YES,MEDIUM
5762,1263049,48,23,5058950,1056,LOW,5,NO,HIGH
5763,944508,3,3,5007074,4016,LOW,7,YES,MEDIUM
5764,168443,48,32,4983377,4088,LOW,6,NO,HIGH
5765,1405079,7,44,5000502,7807,MEDIUM,7,NO,MEDIUM
5766,667415,21,22,4953736,7438,MEDIUM,2,NO,MEDIUM
5767,49245,48,16,4983669,9608,LOW,6,NO,HIGH
5768,124725,49,46,4966938,5644,MEDIUM,8,YES,HIGH
5769,820047,16,6,5028678,5368,LOW,6,NO,HIGH
5770,1296454,26,48,5022691,3510,MEDIUM,8,NO,HIGH
5771,53574,22,3,4988278,3240,HIGH,5,NO,HIGH
5772,175531,38,24,4943492,1251,HIGH,9,YES,HIGH
5773,676904,23,14,4889349,8549,LOW,7,NO,HIGH
5774,1442280,21,16,5009864,5149,MEDIUM,0,NO,MEDIUM
5775,1518379,11,14,5083712,5529,MEDIUM,3,YES,LOW
5776,510119,4,42,4973427,7679,HIGH,3,NO,LOW
5777,310726,29,9,5013769,9302,HIGH,0,YES,LOW
5778,362830,0,20,4936687,5886,LOW,0,NO,MEDIUM
5779,1260339,31,48,5006441,283,MEDIUM,4,YES,MEDIUM
5780,514830,41,28,5055363,8792,HIGH,8,NO,MEDIUM
5781,472668,37,17,4999101,8256,HIGH,6,NO,MEDIUM
5782,1122675,36,39,5044525,2356,HIGH,5,NO,HIGH
5783,42512,46,9,4982485,6290,MEDIUM,7,YES,MEDIUM
5784,338260,47,38,5005544,7139,LOW,8,NO,HIGH
5785,168837,37,48,5010287,4042,LOW,9,NO,HIGH
5786,410701,11,47,5045443,2512,HIGH,2,NO,MEDIUM
5787,568587,3,44,5064187,8338,LOW,8,YES,MEDIUM
5788,1015008,11,25,4973278,8376,HIGH,4,YES,LOW
5789,369493,3,3,5027031,7608,HIGH,3,YES,LOW
5790,1435115,6,39,5011559,8353,LOW,2,NO,HIGH
5791,750839,43,32,4981888,8307,MEDIUM,7,NO,HIGH
5792,649714,42,34,5046476,3148,HIGH,0,NO,HIGH
5793,653443,37,9,5047904,2927,HIGH,5,NO,HIGH
5794,151427,13,14,4980135,7547,HIGH,4,YES,LOW
5795,1331159,44,40,4896220,8961,MEDIUM,3,YES,MEDIUM
5796,1018383,10,30,4985134,9752,HIGH,4,NO,LOW
5797,214904,36,1,5039738,3005,LOW,9,YES,HIGH
5798,602575,45,23,5026365,7444,LOW,9,NO,HIGH
5799,1279788,21,17,4965425,5012,LOW,4,NO,HIGH
5800,1352308,44,22,5022059,231,HIGH,4,YES,MEDIUM
5801,1154717,9,14,4942498,6462,LOW,8,YES,MEDIUM
5802,1346339,36,32,5011314,5376,HIGH,5,YES,LOW
5803,726508,4,34,4962398,8075,LOW,2,YES,MEDIUM
5804,1320060,29,46,5009708,7900,LOW,9,YES,HIGH
5805,710419,24,40,4953037,9360,HIGH,3,NO,LOW
5806,1430794,27,13,4979004,3591,LOW,6,NO,HIGH
5807,965125,6,38,4990455,8994,HIGH,1,NO,LOW
5808,226895,26,48,5011435,6424,HIGH,2,YES,LOW
5809,1309673,0,47,5114079,4685,LOW,5,YES,MEDIUM
5810,1196175,41,46,5007229,989,HIGH,8,NO,HIGH
5811,184874,33,9,5084531,3222,HIGH,0,YES,LOW
5812,1120704,25,42,5086121,7700,LOW,4,YES,MEDIUM
5813,364198,9,16,4921585,2687,LOW,8,YES,MEDIUM
5814,770285,47,22,5034175,962,LOW,6,NO,HIGH
5815,263758,15,25,4994591,9319,LOW,5,YES,MEDIUM
5816,1487283,34,27,5000561,4750,HIGH,6,NO,HIGH
5817,1129783,14,13,4975469,5140,HIGH,6,NO,MEDIUM
5818,1374636,28,13,5077202,4586,MEDIUM,4,YES,MEDIUM
5819,975994,15,20,4973336,5704,MEDIUM,0,NO,MEDIUM
5820,600390,32,17,4980546,4317,HIGH,3,NO,MEDIUM
5821,623746,42,20,5031836,6774,LOW,6,NO,HIGH
5822,244582,37,45,4976022,8919,MEDIUM,2,NO,MEDIUM
5823,923277,43,25,4959707,2810,MEDIUM,5,NO,HIGH
5824,543979,45,40,5020281,7877,HIGH,7,NO,MEDIUM
5825,1185746,12,35,4916433,5449,HIGH,5,YES,LOW
5826,745424,22,15,5030442,7119,MEDIUM,5,YES,MEDIUM
5827,314918,22,25,4995333,752,LOW,5,NO,HIGH
5828,1296737,13,27,4982558,7520,HIGH,0,NO,LOW
5829,204023,35,45,5039710,4958,MEDIUM,3,NO,HIGH
5830,1466084,20,40,4953441,6751,HIGH,9,YES,LOW
5831,258249,15,44,5068849,2702,HIGH,5,NO,HIGH
5832,835021,3,48,4948951,6059,MEDIUM,2,YES,LOW
5833,411557,23,45,5039042,9240,LOW,6,YES,MEDIUM
5834,84365,40,33,5060537,9536,HIGH,7,NO,MEDIUM
5835,414606,31,27,4987264,183,LOW,4,NO,HIGH
5836,1288564,27,46,4973728,2802,MEDIUM,8,NO,HIGH
5837,1198726,15,6,4944079,5670,MEDIUM,5,NO,MEDIUM
5838,536335,13,28,4979013,5037,LOW,5,YES,MEDIUM
5839,1351643,4,14,4922943,4037,LOW,7,YES,MEDIUM
5840,1453817,32,29,4946318,1138,LOW,9,NO,HIGH
5841,792261,47,6,4896532,2026,LOW,1,YES,MEDIUM
5842,1252310,24,46,5001533,3513,MEDIUM,5,NO,HIGH
5843,129465,43,45,5003483,2169,HIGH,8,NO,HIGH
5844,1426322,32,13,4963313,3803,LOW,2,YES,MEDIUM
5845,433376,6,2,4959468,4399,HIGH,0,NO,MEDIUM
5846,182193,44,38,4964063,5675,HIGH,7,YES,MEDIUM
5847,1376392,25,13,4973190,2809,LOW,7,NO,HIGH
5848,337728,44,33,5024155,9899,LOW,3,NO,HIGH
5849,564227,43,26,5005333,5062,HIGH,0,YES,LOW
5850,1002506,42,49,5042201,2496,HIGH,5,NO,HIGH
5851,963722,20,15,5052776,5389,MEDIUM,4,YES,MEDIUM
5852,306060,36,29,5001466,7728,LOW,6,YES,HIGH
5853,1312268,33,8,5066551,3761,MEDIUM,5,YES,MEDIUM
5854,1325570,4,14,4941633,702,MEDIUM,7,YES,MEDIUM
5855,645330,4,0,5030211,810,LOW,6,YES,MEDIUM
5856,149354,38,8,5034171,9835,MEDIUM,6,NO,HIGH
5857,1340531,39,30,4935636,9783,HIGH,3,YES,LOW
5858,1186804,46,18,5055930,9647,LOW,0,YES,MEDIUM
5859,707731,49,12,4987630,3861,MEDIUM,8,YES,HIGH
5860,1038085,23,8,4995936,2593,HIGH,6,NO,HIGH
5861,1299875,7,25,4979293,1176,HIGH,0,YES,LOW
5862,383762,40,2,5003537,7201,LOW,4,YES,HIGH
5863,39350,33,34,4958843,7719,LOW,0,NO,HIGH
5864,380407,40,14,5020641,2851,HIGH,3,NO,HIGH
5865,1446351,13,45,4983401,6056,MEDIUM,7,NO,HIGH
5866,1300906,8,29,4989103,1362,MEDIUM,6,NO,HIGH
5867,1371040,40,32,4891123,315,HIGH,6,YES,HIGH
5868,1436188,23,33,5060475,3662,MEDIUM,0,NO,MEDIUM
5869,687957,20,36,4991773,5911,HIGH,4,YES,LOW
5870,681761,22,14,5009777,4467,LOW,4,YES,MEDIUM
5871,1122584,38,9,5019702,6311,LOW,3,NO,HIGH
5872,937362,16,6,5036965,3398,LOW,4,YES,MEDIUM
5873,233292,29,39,4993822,5626,LOW,4,YES,MEDIUM
5874,1156407,44,41,5013589,6579,HIGH,9,NO,HIGH
5875,1081706,29,26,5005184,7077,HIGH,8,YES,LOW
5876,1116421,8,44,5048141,6273,MEDIUM,0,YES,LOW
5877,370164,20,3,4967759,5942,LOW,7,YES,HIGH
5878,54445,1,44,5052137,543,HIGH,4,YES,MEDIUM
5879,391883,47,8,5120064,1600,MEDIUM,6,NO,HIGH
5880,1060692,18,2,4933298,8804,LOW,8,NO,HIGH
5881,1390918,47,38,4863124,5066,MEDIUM,2,NO,HIGH
5882,579414,9,30,4932956,7008,MEDIUM,8,NO,HIGH
5883,1415832,28,8,5047390,661,MEDIUM,1,YES,MEDIUM
5884,1347253,21,1,4994752,3429,LOW,1,YES,MEDIUM
5885,713664,6,19,5025954,9549,MEDIUM,0,YES,LOW
5886,786708,32,6,5026096,3897,HIGH,2,NO,MEDIUM
5887,511107,33,24,5020934,1483,MEDIUM,2,YES,MEDIUM
5888,109537,39,29,5092087,3405,LOW,8,YES,HIGH
5889,242163,42,45,5010218,648,LOW,0,NO,HIGH
5890,643224,1,26,5106827,1107,LOW,6,NO,HIGH
5891,1342322,38,17,4988635,1466,HIGH,6,YES,MEDIUM
5892,1324656,36,27,5052567,3396,LOW,5,YES,MEDIUM
5893,57116,36,10,4943845,5049,MEDIUM,1,NO,HIGH
5894,552769,11,22,4919906,2925,HIGH,0,NO,MEDIUM
5895,269027,1,18,4984663,5771,HIGH,2,NO,MEDIUM
5896,1506137,43,42,5031602,3841,LOW,7,NO,HIGH
5897,728913,21,24,4951386,5993,LOW,3,NO,HIGH
5898,876506,23,24,4943012,3048,MEDIUM,6,NO,HIGH
5899,50925,28,31,5056688,5270,MEDIUM,7,YES,MEDIUM
5900,684708,15,23,5021169,8982,LOW,7,YES,MEDIUM
5901,1303934,10,39,5063340,1078,LOW,2,YES,MEDIUM
5902,630293,7,30,4988947,4597,MEDIUM,7,YES,MEDIUM
5903,1072532,4,38,4978318,9773,HIGH,7,NO,LOW
5904,1223610,15,29,4936337,4640,LOW,1,YES,MEDIUM
5905,294721,3,30,4967580,4875,MEDIUM,6,YES,MEDIUM
5906,920473,42,7,4994583,9272,HIGH,2,NO,MEDIUM
5907,915394,37,1,5044511,1518,MEDIUM,6,YES,HIGH
5908,1884,30,40,4928707,678,LOW,5,YES,HIGH
5909,318581,3,47,4953612,4781,HIGH,1,NO,MEDIUM
5910,786604,37,12,5009424,943,HIGH,8,YES,HIGH
5911,534255,2,8,5075079,6722,HIGH,0,NO,LOW
5912,989816,4,2,4948815,7180,LOW,6,NO,HIGH
5913,1215456,36,12,4930407,7633,MEDIUM,7,YES,MEDIUM
5914,679728,8,5,5036956,3615,HIGH,3,NO,MEDIUM
5915,1202139,43,33,5105206,5559,LOW,9,NO,HIGH
5916,1194829,1,37,5013353,2470,LOW,7,NO,HIGH
5917,380551,42,30,5005113,2583,MEDIUM,9,NO,HIGH
5918,140432,40,8,4929837,4397,HIGH,7,YES,MEDIUM
5919,188893,11,13,5043999,993,MEDIUM,9,NO,HIGH
5920,1027686,8,12,5004106,6681,HIGH,8,YES,LOW
5921,666142,49,1,5026378,6775,MEDIUM,1,YES,MEDIUM
5922,86542,20,17,5029615,6517,MEDIUM,7,NO,HIGH
5923,1471963,37,28,5029443,5623,LOW,6,YES,HIGH
5924,90090,45,3,5125135,5633,MEDIUM,0,YES,MEDIUM
5925,1257116,24,3,5027380,6074,HIGH,8,YES,LOW
5926,358355,12,4,5026541,3530,LOW,7,NO,HIGH
5927,592521,40,5,5087529,4318,HIGH,7,NO,HIGH
5928,405324,28,25,4986171,7145,LOW,3,YES,MEDIUM
5929,869017,4,14,4986802,2629,HIGH,5,YES,LOW
5930,375637,48,7,5008226,4254,HIGH,5,YES,MEDIUM
5931,383515,37,26,5009968,92,MEDIUM,9,NO,HIGH
5932,487449,7,1,5033378,2841,MEDIUM,7,YES,MEDIUM
5933,343900,37,8,5035096,2540,LOW,6,NO,HIGH
5934,481405,30,43,5050058,4116,HIGH,1,YES,LOW
5935,593406,35,14,4977591,580,LOW,0,NO,HIGH
5936,271464,39,28,5018620,6683,LOW,5,YES,HIGH
5937,1397843,14,23,5026076,6821,MEDIUM,1,NO,MEDIUM
5938,37763,41,9,5128365,766,LOW,5,YES,HIGH
5939,932772,18,18,5110229,9908,MEDIUM,8,YES,LOW
5940,1018027,46,7,4971265,7738,HIGH,6,NO,MEDIUM
5941,349488,15,26,5031800,2163,MEDIUM,4,NO,HIGH
5942,194542,36,33,4904447,9026,LOW,2,NO,HIGH
5943,1396631,28,47,4936652,9599,HIGH,4,YES,LOW
5944,2145,33,9,4966960,1281,LOW,1,NO,HIGH
5945,284627,12,24,5051545,3901,HIGH,7,NO,HIGH
5946,292428,2,18,4988658,5185,HIGH,0,YES,LOW
5947,203082,11,21,5027053,6405,MEDIUM,6,YES,MEDIUM
5948,667494,23,10,5049812,3944,MEDIUM,7,YES,MEDIUM
5949,628955,13,22,5017300,1369,HIGH,1,NO,MEDIUM
5950,446808,46,24,5039026,1225,LOW,6,YES,HIGH
5951,1128969,25,43,5038088,6126,LOW,0,YES,MEDIUM
5952,1412059,8,25,4987546,6521,LOW,3,YES,MEDIUM
5953,4112,28,3,5054817,6272,LOW,7,NO,HIGH
5954,1409723,46,19,4958246,3622,MEDIUM,9,NO,HIGH
5955,1327111,6,35,4937688,2500,LOW,2,YES,MEDIUM
5956,931278,48,6,5024324,4361,HIGH,0,NO,MEDIUM
5957,433169,39,7,4983878,9056,LOW,1,YES,MEDIUM
5958,1020840,43,36,4988467,1777,LOW,9,NO,HIGH
5959,1052315,49,11,4984433,5173,HIGH,2,NO,MEDIUM
5960,34791,8,46,5024419,6136,HIGH,9,YES,LOW
5961,651724,43,12,5064475,9968,MEDIUM,2,NO,MEDIUM
